date,year,temp,precip
1/1/1935,1935,8.98,
1/1/1936,1936,9.18,
1/1/1937,1937,8.82,1049
1/1/1938,1938,9.41,855
1/1/1939,1939,9.73,1080
1/1/1940,1940,10.33,1073
1/1/1941,1941,10.44,1107
1/1/1942,1942,9.84,811
1/1/1943,1943,9.07,795
1/1/1944,1944,9.63,835
1/1/1945,1945,9.11,1072
1/1/1946,1946,9.03,1154
1/1/1947,1947,9.52,1169
1/1/1948,1948,8.55,1167
1/1/1949,1949,8.53,891
1/1/1950,1950,8.31,1269
1/1/1951,1951,8.78,1075
1/1/1952,1952,9.02,723
1/1/1953,1953,9.89,1197
1/1/1954,1954,8.76,1087
1/1/1955,1955,7.78,1034
1/1/1956,1956,8.78,1145
1/1/1957,1957,9.09,884
1/1/1958,1958,10.7,1128
1/1/1959,1959,9.1,1239
1/1/1960,1960,9.23,1129
1/1/1961,1961,9.66,1367
1/1/1962,1962,9.24,1142
1/1/1963,1963,9.55,1094
1/1/1964,1964,8.5,1100
1/1/1965,1965,9.1,1008
1/1/1966,1966,9.17,1131
1/1/1967,1967,9.77,1173
1/1/1968,1968,9.22,1295
1/1/1969,1969,8.88,947
1/1/1970,1970,9.62,875
1/1/1971,1971,8.57,1335
1/1/1972,1972,8.55,1244
1/1/1973,1973,9.01,999
1/1/1974,1974,9.38,1248
1/1/1975,1975,8.61,1319
1/1/1976,1976,9.09,1008
1/1/1977,1977,9.1,1032
1/1/1978,1978,9.3,1017
1/1/1979,1979,9.41,986
1/1/1980,1980,9.29,1419
1/1/1981,1981,9.94,1459
1/1/1982,1982,9.07,1260
1/1/1983,1983,9.85,1490
1/1/1984,1984,9.1,1422
1/1/1985,1985,8.54,810
1/1/1986,1986,9.83,1219
1/1/1987,1987,10.28,938
1/1/1988,1988,9.74,1252
1/1/1989,1989,9.51,1082
1/1/1990,1990,9.72,1343
1/1/1991,1991,9.72,1159
1/1/1992,1992,10.56,1137
1/1/1993,1993,9.66,884
1/1/1994,1994,10.28,1117
1/1/1995,1995,10.45,1273
1/1/1996,1996,9.27,1463
1/1/1997,1997,10.15,1522
1/1/1998,1998,10.49,1161
1/1/1999,1999,9.62,1394
1/1/2000,2000,9.46,1011
1/1/2001,2001,9.48,1179
1/1/2002,2002,9.56,858
1/1/2003,2003,10.13,1106
1/1/2004,2004,10.56,1211
1/1/2005,2005,10.05,1215
1/1/2006,2006,10.05,1224
1/1/2007,2007,9.52,1322
1/1/2008,2008,9.1,1026
1/1/2009,2009,9.38,1091
1/1/2010,2010,9.95,1207
1/1/2011,2011,8.98,1069
1/1/2012,2012,9.38,1211
1/1/2013,2013,10.09,944
1/1/2014,2014,10.53,1276
1/1/2015,2015,11.08,1143
1/1/2016,2016,10.7,1357
1/1/2017,2017,9.66,1239
1/1/2018,2018,10.08,1343
1/1/2019,2019,9.63,966
1/1/2020,2020,10.68,1140
1/1/2021,2021,10.52,1160
1/1/2022,2022,10.22,1048
1/1/2023,2023,11,875
1/1/2024,2024,10.74,1367
