date,year,month,day,enso
1/1/1950,1950,1,1,-1.53
2/1/1950,1950,2,1,-1.34
3/1/1950,1950,3,1,-1.16
4/1/1950,1950,4,1,-1.18
5/1/1950,1950,5,1,-1.07
6/1/1950,1950,6,1,-0.85
7/1/1950,1950,7,1,-0.54
8/1/1950,1950,8,1,-0.42
9/1/1950,1950,9,1,-0.39
10/1/1950,1950,10,1,-0.44
11/1/1950,1950,11,1,-0.6
12/1/1950,1950,12,1,-0.8
1/1/1951,1951,1,1,-0.82
2/1/1951,1951,2,1,-0.54
3/1/1951,1951,3,1,-0.17
4/1/1951,1951,4,1,0.18
5/1/1951,1951,5,1,0.36
6/1/1951,1951,6,1,0.58
7/1/1951,1951,7,1,0.7
8/1/1951,1951,8,1,0.89
9/1/1951,1951,9,1,0.99
10/1/1951,1951,10,1,1.15
11/1/1951,1951,11,1,1.04
12/1/1951,1951,12,1,0.81
1/1/1952,1952,1,1,0.53
2/1/1952,1952,2,1,0.37
3/1/1952,1952,3,1,0.34
4/1/1952,1952,4,1,0.29
5/1/1952,1952,5,1,0.2
6/1/1952,1952,6,1,0
7/1/1952,1952,7,1,-0.08
8/1/1952,1952,8,1,0
9/1/1952,1952,9,1,0.15
10/1/1952,1952,10,1,0.1
11/1/1952,1952,11,1,0.04
12/1/1952,1952,12,1,0.15
1/1/1953,1953,1,1,0.4
2/1/1953,1953,2,1,0.6
3/1/1953,1953,3,1,0.63
4/1/1953,1953,4,1,0.66
5/1/1953,1953,5,1,0.75
6/1/1953,1953,6,1,0.77
7/1/1953,1953,7,1,0.75
8/1/1953,1953,8,1,0.73
9/1/1953,1953,9,1,0.78
10/1/1953,1953,10,1,0.84
11/1/1953,1953,11,1,0.84
12/1/1953,1953,12,1,0.81
1/1/1954,1954,1,1,0.76
2/1/1954,1954,2,1,0.47
3/1/1954,1954,3,1,-0.05
4/1/1954,1954,4,1,-0.41
5/1/1954,1954,5,1,-0.54
6/1/1954,1954,6,1,-0.5
7/1/1954,1954,7,1,-0.64
8/1/1954,1954,8,1,-0.84
9/1/1954,1954,9,1,-0.9
10/1/1954,1954,10,1,-0.77
11/1/1954,1954,11,1,-0.73
12/1/1954,1954,12,1,-0.66
1/1/1955,1955,1,1,-0.68
2/1/1955,1955,2,1,-0.62
3/1/1955,1955,3,1,-0.69
4/1/1955,1955,4,1,-0.8
5/1/1955,1955,5,1,-0.79
6/1/1955,1955,6,1,-0.72
7/1/1955,1955,7,1,-0.68
8/1/1955,1955,8,1,-0.75
9/1/1955,1955,9,1,-1.09
10/1/1955,1955,10,1,-1.42
11/1/1955,1955,11,1,-1.67
12/1/1955,1955,12,1,-1.47
1/1/1956,1956,1,1,-1.11
2/1/1956,1956,2,1,-0.76
3/1/1956,1956,3,1,-0.63
4/1/1956,1956,4,1,-0.54
5/1/1956,1956,5,1,-0.52
6/1/1956,1956,6,1,-0.51
7/1/1956,1956,7,1,-0.57
8/1/1956,1956,8,1,-0.55
9/1/1956,1956,9,1,-0.46
10/1/1956,1956,10,1,-0.42
11/1/1956,1956,11,1,-0.43
12/1/1956,1956,12,1,-0.43
1/1/1957,1957,1,1,-0.25
2/1/1957,1957,2,1,0.06
3/1/1957,1957,3,1,0.41
4/1/1957,1957,4,1,0.72
5/1/1957,1957,5,1,0.92
6/1/1957,1957,6,1,1.11
7/1/1957,1957,7,1,1.25
8/1/1957,1957,8,1,1.32
9/1/1957,1957,9,1,1.33
10/1/1957,1957,10,1,1.39
11/1/1957,1957,11,1,1.53
12/1/1957,1957,12,1,1.74
1/1/1958,1958,1,1,1.81
2/1/1958,1958,2,1,1.66
3/1/1958,1958,3,1,1.27
4/1/1958,1958,4,1,0.93
5/1/1958,1958,5,1,0.74
6/1/1958,1958,6,1,0.64
7/1/1958,1958,7,1,0.57
8/1/1958,1958,8,1,0.43
9/1/1958,1958,9,1,0.39
10/1/1958,1958,10,1,0.44
11/1/1958,1958,11,1,0.5
12/1/1958,1958,12,1,0.61
1/1/1959,1959,1,1,0.61
2/1/1959,1959,2,1,0.62
3/1/1959,1959,3,1,0.52
4/1/1959,1959,4,1,0.33
5/1/1959,1959,5,1,0.2
6/1/1959,1959,6,1,-0.07
7/1/1959,1959,7,1,-0.18
8/1/1959,1959,8,1,-0.28
9/1/1959,1959,9,1,-0.09
10/1/1959,1959,10,1,-0.03
11/1/1959,1959,11,1,0.05
12/1/1959,1959,12,1,-0.04
1/1/1960,1960,1,1,-0.1
2/1/1960,1960,2,1,-0.1
3/1/1960,1960,3,1,-0.07
4/1/1960,1960,4,1,0.03
5/1/1960,1960,5,1,0.02
6/1/1960,1960,6,1,0.03
7/1/1960,1960,7,1,0.13
