Site,Lat,Long,precip
Lower Capilano FW,49.38694,-123.11968,3185
Upper Capilano FW,49.44496,-123.10402,3787
Capilano above Lakehead,49.39646858,123.1454241,3645
Lower Seymour FW,49.37925,-122.99552,3175
Upper Seymour FW,49.48584,-122.94626,3186
Seymour at Orchid ,49.52026,-123.00398,3404
Orchid Lake,49.53588,-123.05076,4296
Palisade Lake,49.45446,-123.03179,5015
Coquitlam FW,49.36409,-122.75339,3045
Cedar Creek,49.38081,-122.77678,3745
Upper Coquitlam,49.487555,-122.792449,4026
Disappointment Lake,49.55448,-122.75861,4646
Squamish,49.78321,-123.16119,2378
Grouse Mountain ,49.38003,-123.08069,2965
Burns Bog,49.1258,-123.0022,1405
Pitt Meadows,49.2083,-122.69,1922
Vancouver Harbour,49.2954,-123.1219,1566
Van Sea Island,49.1825,-123.1872,1398
West Vancouver,49.34704,-123.19331,2088
Seymour Falls Dam,49.44029,-122.96769,3820
Cleveland Dam,49.36032,-123.11064,2246
Coquitlam Dam,49.35326,-122.77482,3486
Capilano - Hesketh,49.4616,-123.1311,4120
