year,month,day,sample,grouse_depth,grouse_swe,grouse_density,dog_depth,dog_swe,dog_density,orchid_depth,orchid_swe,orchid_density,disappointment_depth,disappointment_swe,disappointment_density,palisade_depth,palisade_swe,palisade_density,snowline,enso_phase,enso_oni,enso_oni_main,pdo_phase,pdo_anomaly,pdo_phase_main,sca_%,date,DOY
1936,1,1,1,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,2.17,positive,,1/1/1936,1
1936,2,1,2,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,1.6,positive,,2/1/1936,32
1936,3,1,3,,,,,,,,,,,,,,,,,neutral,0.5,neutral,positive,1.19,positive,,3/1/1936,60
1936,4,1,4,320,1316,41.13,,,,,,,,,,,,,,neutral,0.4,neutral,positive,1.19,positive,,4/1/1936,91
1936,5,1,5,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,1.64,positive,,5/1/1936,121
1936,5,15,6,,,,,,,,,,,,,,,,,neutral,0.4,neutral,positive,2.24,positive,,5/15/1936,135
1936,6,1,7,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,2.24,positive,,6/1/1936,152
1936,6,15,8,,,,,,,,,,,,,,,,,neutral,0.3,neutral,positive,2.56,positive,,6/15/1936,166
1937,1,1,1,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,positive,0.06,positive,,1/1/1937,1
1937,2,1,2,,,,,,,,,,,,,,,,,neutral,-0.3,neutral,negative,-0.45,positive,,2/1/1937,32
1937,3,1,3,,,,,,,,,,,,,,,,,neutral,-0.1,neutral,negative,-0.28,positive,,3/1/1937,60
1937,4,1,4,239,1143,47.82,,,,,,,,,,,,,,neutral,0.1,neutral,negative,-0.69,positive,,4/1/1937,91
1937,5,1,5,,,,,,,,,,,,,,,,,neutral,0.2,neutral,negative,-0.39,positive,,5/1/1937,121
1937,5,15,6,,,,,,,,,,,,,,,,,neutral,0.2,neutral,positive,0.56,positive,,5/15/1937,135
1937,6,1,7,,,,,,,,,,,,,,,,,neutral,0,neutral,positive,1.16,positive,,6/1/1937,152
1937,6,15,8,,,,,,,,,,,,,,,,,neutral,0,neutral,positive,0.1,positive,,6/15/1937,166
1938,1,1,1,,,,,,,,,,,,,,,,,negative,-0.6,negative,positive,1.53,positive,,1/1/1938,1
1938,2,1,2,,,,,,,,,,,,,,,,,negative,-0.8,negative,positive,0.28,positive,,2/1/1938,32
1938,3,1,3,,,,,,,,,,,,,,,,,negative,-0.7,negative,negative,-0.45,positive,,3/1/1938,60
1938,4,1,4,292,1229,42.09,,,,,,,,,,,,,,negative,-0.8,negative,negative,-0.22,positive,,4/1/1938,91
1938,5,1,5,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.59,positive,,5/1/1938,121
1938,5,15,6,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.62,positive,,5/15/1938,135
1938,6,1,7,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.62,positive,,6/1/1938,152
1938,6,15,8,,,,,,,,,,,,,,,,,negative,-0.6,negative,negative,-0.63,positive,,6/15/1938,166
1939,1,1,1,,,,,,,,,,,,,,,,,negative,-0.9,negative,positive,1.17,positive,,1/1/1939,1
1939,2,1,2,,,,,,,,,,,,,,,,,negative,-0.8,negative,negative,-0.1,positive,,2/1/1939,32
1939,3,1,3,,,,,,,,,,,,,,,,,negative,-0.5,negative,negative,-0.63,positive,,3/1/1939,60
