date,flow,year,month,mean_flow,percent
2024-01-31,48.35548387096774,2024,1.0,29.7,1.628130770066254
2024-02-29,18.271034482758623,2024,2.0,15.8,1.1563945875163684
2024-03-31,19.009677419354837,2024,3.0,20.8,0.913926799007444
2024-04-30,16.519,2024,4.0,22.2,0.7440990990990991
2024-05-31,19.0258064516129,2024,5.0,26.8,0.7099181511795858
2024-06-30,19.611333333333334,2024,6.0,21.1,0.9294470774091627
2024-07-31,4.038709677419355,2024,7.0,9.9,0.40795047246660154
2024-08-31,2.2209677419354836,2024,8.0,5.2,0.42710918114143914
2024-09-30,2.698666666666667,2024,9.0,9.3,0.29017921146953407
2024-10-31,25.066129032258065,2024,10.0,23.7,1.0576425752007623
2024-11-30,31.976333333333333,2024,11.0,34.4,0.9295445736434109
2024-12-31,37.413870967741936,2024,12.0,25.4,1.4729870459740921
